"BehaviorSpace results (NetLogo 6.2.2)"
"Segregation.nlogo"
"experiment"
"04/24/2025 22:31:15:177 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","density","%-similar-wanted","[step]","percent-unhappy"
"33","50","45","3","9.202453987730062"
"35","50","45","1","21.364317841079462"
"38","50","45","1","22.863741339491916"
"37","50","45","1","23.680124223602483"
"32","50","45","10","0.5455962587685114"
"39","50","45","0","39.20671243325706"
"34","50","45","3","10.758513931888544"
"36","50","45","3","8.40466926070039"
"32","50","45","11","0.6235385814497272"
"38","50","45","2","15.396458814472672"
"39","50","45","1","24.40884820747521"
"37","50","45","2","14.596273291925465"
"34","50","45","4","7.120743034055728"
"35","50","45","2","13.868065967016491"
"33","50","45","4","6.211656441717792"
"36","50","45","4","4.747081712062257"
"32","50","45","12","0.3897116134060795"
"39","50","45","2","15.255530129672007"
"33","50","45","5","3.374233128834356"
"36","50","45","5","2.8793774319066148"
"32","50","45","13","0.23382696804364772"
"38","50","45","3","10.623556581986143"
"33","50","45","6","2.377300613496933"
"36","50","45","6","1.634241245136187"
"32","50","45","14","0.1558846453624318"
"37","50","45","3","9.239130434782608"
"34","50","45","5","4.179566563467492"
"35","50","45","3","9.295352323838081"
"33","50","45","7","1.4570552147239262"
"36","50","45","7","0.7782101167315175"
"32","50","45","15","0.1558846453624318"
"34","50","45","6","2.5541795665634677"
"33","50","45","8","0.6901840490797546"
"36","50","45","8","0.622568093385214"
"32","50","45","16","0"
"38","50","45","4","6.389530408006158"
"37","50","45","4","6.288819875776397"
"39","50","45","3","9.229595728451564"
"35","50","45","4","5.397301349325337"
"34","50","45","7","1.3157894736842104"
"38","50","45","5","2.771362586605081"
"37","50","45","5","3.804347826086957"
"35","50","45","5","3.673163418290855"
"39","50","45","4","5.263157894736842"
"33","50","45","9","0.6134969325153374"
"36","50","45","9","0.5447470817120622"
"34","50","45","8","1.238390092879257"
"38","50","45","6","1.6936104695919936"
"37","50","45","6","2.406832298136646"
"35","50","45","6","1.7241379310344827"
"39","50","45","5","4.3478260869565215"
"33","50","45","10","0.4601226993865031"
"38","50","45","7","1.0007698229407236"
"37","50","45","7","1.6304347826086956"
"34","50","45","9","0.9287925696594427"
"40","50","45","0","40.91936699321778"
"35","50","45","7","1.3493253373313343"
"33","50","45","11","0.3067484662576687"
"38","50","45","8","0.3849114703618168"
"34","50","45","10","0.9287925696594427"
"37","50","45","8","1.0869565217391304"
"39","50","45","6","2.745995423340961"
"36","50","45","10","0.1556420233463035"
"35","50","45","8","1.1244377811094453"
"39","50","45","7","2.059496567505721"
"34","50","45","11","0.541795665634675"
"38","50","45","9","0.15396458814472672"
"40","50","45","1","25.169555388093446"
"33","50","45","12","0.3834355828220859"
"36","50","45","11","0.07782101167315175"
"37","50","45","9","0.6211180124223602"
"35","50","45","9","0.6746626686656672"
"34","50","45","12","0.38699690402476783"
"39","50","45","8","0.7627765064836003"
"40","50","45","2","15.749811605124343"
"38","50","45","10","0.07698229407236336"
"36","50","45","12","0"
